a			ʌ
chassis		tʃæˈsi
chastain		ʃʌstejˈn
chaste			tʃejˈst
chasteen		tʃʌstiˈn
chasten		tʃejˈsʌn
chastened		tʃejˈsʌnd
chastise		tʃæstajˈz
chastised		tʃæstajˈzd
chastises		tʃæstajˈzɪz
chastising		tʃæstajˈzɪŋ
chastity		tʃæˈstʌti
chat			tʃæˈt
chataqua		ʃʌtɑˈkwʌ
chateau		ʃætowˈ
chateaux		ʃʌtowˈ
chatfield		tʃæˈtfiˌld
chatham		tʃæˈtʌm
chatichai		tʃæˈtɪtʃajˌ
chatichai's		tʃæˈtɪˌkajz
chatichai's(1)		tʃæˈtɪtʃajˌz
chatihachi		tʃæˌtɪhɑˈtʃi
chatihachi's		tʃæˌtɪhɑˈtʃiz
chatman		tʃæˈtmʌn
chatmon		tʃæˈtmʌn
chato			tʃejˈtow
chats			tʃæˈts
chatswood		tʃæˈtswʊˌd
chatsworth		tʃæˈtswɜɹˌθ
chattahoochee		tʃæˌtʌhuˈtʃi
chattahoochee's	tʃæˌtʌhuˈtʃiz
chattanooga		tʃæˌtʌnuˈgʌ
chattanooga's		tʃæˌtʌnuˈgʌz
chattanuga		tʃæˌtʌnuˈgʌ
chatted		tʃæˈtʌd
chatted(1)		tʃæˈtɪd
chattel		tʃæˈtʌl
chatter		tʃæˈtɜɹ
chattering		tʃæˈtɜɹɪŋ
chatterjee		tʃʌtɜɹˈdʒi
chatterton		tʃæˈtɜɹtʌn
chatterton's		tʃæˈtɜɹtʌnz
chattin		tʃæˈtɪn
chatting		tʃæˈtɪŋ
chatty			tʃæˈti
chatwal		tʃæˈtwɔˌl
chatwin		tʃæˈtwɪn
chatz			tʃæˈts
chatz'			tʃæˈts
chatz's		tʃæˈtsɪz
chau			ʃowˈ
chaucer		tʃɔˈsɜɹ
chaucer's		tʃɔˈsɜɹz
chaudhry		tʃɔˈdɹi
chaudoin		ʃowdɔjˈn
chauffeur		ʃowfɜɹˈ
chauffeur(1)		ʃowˈfɜɹ
chauffeur's		ʃowfɜɹˈz
chauffeur's(1)		ʃowˈfɜɹz
chauffeured		ʃowfɜɹˈd
chauffeured(1)		ʃowˈfɜɹd
chauffeurs		ʃowfɜɹˈz
chauffeurs(1)		ʃowˈfɜɹz
chaumet		tʃɔˈmɪt
chaunce		tʃɔˈns
chauncey		tʃɔˈnsi
chauncy		tʃɔˈnsi
chaus			tʃawˈs
chausse		tʃawˈs
chaussee		tʃawˈsi
chautauqua		ʃʌtɔˈkwʌ
chautauquan		ʃʌtɔˈkwʌn
chautauquans		ʃʌtɔˈkwʌnz
chauvin		ʃowvæˈn
chauvinism		ʃowˈvʌnɪˌzʌm
chauvinist		ʃowˈvʌnʌst
chauvinistic		tʃowˌvʌnɪˈstɪk
chauvinists		ʃowˈvʌnʌsts
chavalit		tʃʌvɑˈlɪt
chavarria		tʃʌvæˈɹiʌ
chavers		tʃejˈvɜɹz
chaves			tʃejˈvz
chavez			ʃɑˈvɛz
chavez(1)		tʃæˈvɛˌz
chavez(2)		ʃʌvɛˈz
chavin			tʃejˈvɪn
chavira		kɑvɪˈɹʌ
chavis			tʃæˈvɪs
chavis(1)		tʃejˈvɪs
chavis'		tʃæˈvɪs
chavis'(1)		tʃejˈvɪs
chavitz		tʃæˈvɪts
chavous		ʃʌvɔˈs
chaw			tʃɔˈ
chawla			tʃɔˈlʌ
chayon			tʃejˈʌn
chaz			tʃæˈz
chazanoff		tʃæˈzʌnɔf
chazen			tʃejˈzʌn
chazov			tʃæˈzɑv
chazz			tʃæˈz
chazz(1)		tʃɑˈz
che			tʃejˈ
che's			tʃejˈz
chea			tʃiˈ
cheadle		tʃiˈdʌl
cheane			tʃiˈn
cheane's		tʃiˈnz
cheaney		tʃiˈni
cheap			tʃiˈp
cheapen		tʃiˈpʌn
cheapened		tʃiˈpʌnd
cheapening		tʃiˈpʌnɪŋ
cheapens		tʃiˈpʌnz
cheaper		tʃiˈpɜɹ
cheapest		tʃiˈpʌst
cheaply		tʃiˈpli
cheapness		tʃiˈpnʌs
cheapo			tʃiˈpowˌ
cheapskate		tʃiˈpskejˌt
cheat			tʃiˈt
cheated		tʃiˈtʌd
cheated(1)		tʃiˈtɪd
cheater		tʃiˈtɜɹ
cheaters		tʃiˈtɜɹz
cheatham		tʃiˈtʌm
cheating		tʃiˈtɪŋ
cheats			tʃiˈts
cheatum		tʃiˈtʌm
cheatwood		tʃiˈtwʊˌd
chebrikov		tʃɛˈbɹɪkɑˌv
checchi		tʃɛˈki
chechen		tʃɛˈtʃɪn
chechen's		tʃɛˈtʃɪnz
chechens		tʃɛˈtʃɪnz
chechnya		tʃɛˈtʃniʌ
chechnya's		tʃɛˈtʃniʌz
chechnyan		tʃɛˈtʃniʌn
chechnyan's		tʃɛˈtʃniʌnz
chechnyans		tʃɛˈtʃniʌnz
check			tʃɛˈk
checkbook		tʃɛˈkbʊˌk
checkbooks		tʃɛˈkbʊˌks
checked		tʃɛˈkt
checker		tʃɛˈkɜɹ
checkerboard		tʃɛˈkɜɹbɔˌɹd
checkerboarding	tʃɛˈkɜɹbɔˌɹdɪŋ
checkerboards		tʃɛˈkɜɹbɔˌɹdz
checkered		tʃɛˈkɜɹd
checkers		tʃɛˈkɜɹz
checkerspot		tʃɛˈkɜɹspɑˌt
checketts		tʃɛˈkɪts
checking		tʃɛˈkɪŋ
checklist		tʃɛˈklɪˌst
checklists		tʃɛˈklɪˌsts
checkmate		tʃɛˈkmejˌt
checkmates		tʃɛˈkmejˌts
checkoff		tʃɛˈkɔˌf
checkout		tʃɛˈkawˌt
checkouts		tʃɛˈkawˌts
checkpoint		tʃɛˈkpɔjˌnt
checkpoints		tʃɛˈkpɔjˌnts
checks			tʃɛˈks
checkup		tʃɛˈkʌˌp
checkups		tʃɛˈkʌˌps
cheddar		tʃɛˈdɜɹ
cheddars		tʃɛˈdɜɹz
chedester		tʃɛˈdɪstɜɹ
chee			tʃiˈ
cheech			tʃiˈtʃ
cheek			tʃiˈk
cheekbone		tʃiˈkbowˌn
cheekbones		tʃiˈkbowˌnz
cheeked		tʃiˈkt
cheeks			tʃiˈks
cheektowaga		tʃiˌktʌwɑˈgʌ
cheeky			tʃiˈki
cheely			tʃiˈli
cheer			tʃɪˈɹ
cheered		tʃɪˈɹd
cheerful		tʃɪˈɹfʌl
cheerfully		tʃɪˈɹfʌli
cheerfully(1)		tʃɪˈɹfli
cheerier		tʃɪˈɹiɜɹ
cheeriest		tʃɪˈɹiʌst
cheering		tʃɪˈɹɪŋ
cheerio		tʃɪˈɹiow
cheerios		tʃɪˈɹiows
cheerleader		tʃɪˈɹliˌdɜɹ
cheerleaders		tʃɪˈɹliˌdɜɹz
cheerleading		tʃɪˈɹliˌdɪŋ
cheers			tʃɪˈɹz
cheery			tʃɪˈɹi
cheese			tʃiˈz
cheeseburger		tʃiˈzbɜɹgɜɹ
cheeseburgers		tʃiˈzbɜɹgɜɹz
cheesecake		tʃiˈzkejˌk
cheeseman		tʃiˈzmʌn
cheeser		tʃiˈzɜɹ
cheeses		tʃiˈzɪz
cheesier		tʃiˈziɜɹ
cheesiest		tʃiˈziɪst
cheesman		tʃiˈzmʌn
cheesy			tʃiˈzi
cheetah		tʃiˈtʌ
cheetahs		tʃiˈtʌz
cheetal		tʃiˈtʌl
cheetan		tʃiˈtʌn
cheetham		tʃiˈθʌm
cheever		tʃiˈvɜɹ
chef			ʃɛˈf
chef's			ʃɛˈfs
chefitz		tʃɛˈfɪts
chefs			ʃɛˈfs
cheil			tʃajˈl
cheimi			tʃejˈmi
chek			tʃɛˈk
chekhov		tʃɛˈkɑv
chekhov's		tʃɛˈkɑvz
chelan			tʃɛˈlʌn
chelette		ʃɪlɛˈt
chelf			tʃɛˈlf
chell			tʃɛˈl
chellis		tʃɛˈlɪs
chelmsford		tʃɛˈlmsfɜɹd
chelsea		tʃɛˈlsi
chelsea's		tʃɛˈlsiz
chelyabinsk		tʃɛljʌbɪˈnsk
chem			kɛˈm
chema			tʃɛˈmɑ
chemania		tʃʌmejˈnjʌ
chemclear		tʃɛˈmklɪˌɹ
chemdesign		tʃɛˈmdʌzajˌn
chemed			kɛˈmɛd
chemed(1)		kɛˈmd
chemel			kɛˈmɛl
chemerinsky		tʃɛˌmɜɹɪˈnski
chemetron		tʃɛˈmʌtɹɑn
chemfix		tʃɛˈmfɪks
chemical		kɛˈmʌkʌl
chemical(1)		kɛˈmɪkʌl
chemical's		kɛˈmɪkʌlz
chemically		kɛˈmʌkli
chemicals		kɛˈmɪkʌlz
chemicals'		tʃɛˈmʌkʌlz
chemie			tʃɛˈmi
chemins		tʃɛˈmɪnz
chemins(1)		ʃʌmɪˈnz
chemise		ʃʌmiˈz
chemist		kɛˈmɪst
chemistry		kɛˈmʌstɹi
chemistry(1)		kɛˈmɪstɹi
chemists		kɛˈmʌsts
chemists(1)		kɛˈmɪsts
chemlawn		kɛˈmlɔˌn
chemlawn's		kɛˈmlɔˌnz
chemo			kiˈmow
chemotherapy		kiˌmowθɛˈɹʌpi
chemyr			kɛˈmɪɹ
chen			tʃɛˈn
chen's			tʃɛˈnz
chenard		tʃɛˈnɜɹd
chenault		ʃɪnowˈ
chenette		ʃɪnɛˈt
chenevert		tʃɛˈnɪvɜɹt
cheney			tʃejˈni
cheney's		tʃejˈniz
cheng			tʃɛˈŋ
cheng-chung		tʃɛˈŋtʃʊˈŋ
cheng-hua		tʃɛˈŋhwɑˈ
chengdu		tʃɛˌŋduˈ
chengxiang		tʃɛˈŋʃjɑˈŋ
chenier		tʃɛˈnjɜɹ
chennai		tʃɛˈnajˌ
chennault		tʃɛˈnɔlt
chenoweth		tʃɛˈnʌwɛθ
chenowitz		tʃɛˈnʌwɪts
chenxiang		tʃɛˈnʃjɑˈŋ
cheong			tʃiˈɔŋ
cher			ʃɛˈɹ
cheramie		tʃɛˈɹʌmi
cherbourg		ʃɛˈɹbuɹg
cheri			ʃɛˈɹi
cherico		kɜɹiˈkow
cherico(1)		tʃɜɹiˈkow
cherie			ʃɛˈɹi
cherish		tʃɛˈɹɪʃ
cherished		tʃɛˈɹɪʃt
cherishes		tʃɛˈɹɪʃɪz
cherishing		tʃɛˈɹɪʃɪŋ
chermak		tʃɜɹˈmʌk
chern			tʃɜɹˈn
cherne			tʃɜɹˈn
chernenko		tʃɜɹnɛˈŋkow
cherney		tʃɜɹˈni
chernick		tʃɜɹˈnɪk
chernin		tʃɜɹˈnɪn
chernobyl		tʃɜɹnowˈbʌl
chernobyl's		tʃɜɹnowˈbʌlz
chernoff		kɜɹˈnɔf
chernomyrdin		tʃɛˌɹnowmɪˈɹdʌn
chernomyrdin's		tʃɛˌɹnowmɪˈɹdʌnz
chernow		tʃɜɹˈnow
cherny			tʃɜɹˈni
cherokee		tʃɛˈɹʌkiˌ
cherokee's		tʃɛˈɹʌkiˌz
cherokees		tʃɛˈɹʌkiˌz
cherrapunji		tʃɛˌɹʌpʌˈndʒi
cherrier		tʃɛˈɹiɜɹ
cherries		tʃɛˈɹiz
cherrington		tʃɛˈɹɪŋtʌn
cherry			tʃɛˈɹi
cherry's		tʃɛˈɹiz
cherrystone		tʃɛˈɹistowˌn
cherrystones		tʃɛˈɹistowˌnz
chert			tʃɜɹˈt
chertkow		tʃɜɹˈtkaw
chertoff		tʃɜɹˈtɑf
cherts			tʃɜɹˈts
cherub			tʃɛˈɹʌb
cherubic		tʃɜɹuˈbɪk
cherubini		kɜɹubiˈni
cherubs		tʃɛˈɹʌbz
cherumirdan		tʃɛˌɹʌmɪˈɹdʌn
cherumirdan's		tʃɛˌɹʌmɪˈɹdʌnz
chervenak		tʃɜɹˈvɪnæk
chery			tʃɛˈɹi
cheryl			ʃɛˈɹʌl
ches			tʃɛˈs
chesapeake		tʃɛˈsʌpiˌk
chesbro		kɛˈsbɹow
chesebro		kɛsɛˈbɹow
chesebrough		tʃɛˈsʌbɹu
chesher		tʃɛˈʃɜɹ
cheshier		tʃɛˈʃiɜɹ
cheshire		tʃɛˈʃɜɹ
chesler		tʃɛˈsʌlɜɹ
chesler(1)		tʃɛˈslɜɹ
chesley		tʃɛˈsli
cheslock		tʃɛˈslʌk
chesney		tʃɛˈsni
chesnut		tʃɛˈsnʌˌt
chesnutt		ʃɪsnʌˈt
chesnutt(1)		tʃɛsnʌˈt
chess			tʃɛˈs
chessboard		tʃɛˈsbɔˌɹd
chessboards		tʃɛˈsbɔˌɹdz
chesser		tʃɛˈsɜɹ
chessher		tʃɛˈʃɜɹ
chesshir		ʃɪʃɜɹˈ
chessman		tʃɛˈsmʌn
chesson		tʃɛˈsʌn
chest			tʃɛˈst
chestang		tʃɛˈstʌŋ
chested		tʃɛˈstʌd
chested(1)		tʃɛˈstɪd
chester		tʃɛˈstɜɹ
chesterfield		tʃɛˈstɜɹfiˌld
chesterman		tʃɛˈstɜɹmʌn
chesters		tʃɛˈstɜɹz
chesterson		tʃɛˈstɜɹsʌn
chesterton		tʃɛˈstɜɹtʌn
chestman		tʃɛˈstmʌn
chestnut		tʃɛˈsnʌˌt
chestnut(1)		tʃɛˈstnʌˌt
chestnuts		tʃɛˈsnʌts
chestnutt		tʃɛˈstnʌt
cheston		tʃɛˈstʌn
chests			tʃɛˈsts
chet			tʃɛˈt
chetniks		tʃɛˈtnɪks
chetwin		tʃɛˈtwɪn
cheung			tʃjuˈŋ
cheuse			tʃuˈs
cheuvront		ʃuvɹɑˈnt
chevalier		ʃɛˌvʌlɪˈɹ
cheverly		tʃɛˈvɜɹli
cheves			tʃiˈvz
chevette		ʃʌvɛˈt
chevies		tʃɛˈviz
chevik			tʃɛˈvɪk
cheviot		ʃɛˈviʌt
cheviots		tʃiˈviʌts
chevis			tʃɛˈvɪs
chevrette		ʃɪvɹɛˈt
chevrier		tʃɛˈvɜɹiɜɹ
chevrolet		ʃɛˌvɹʌlejˈ
chevrolet(1)		ʃɛˌvɹowlejˈ
chevrolet's		ʃɛˌvɹʌlejˈz
chevrolet's(1)		ʃɛˌvɹowlejˈz
chevrolets		ʃɛˌvɹʌlejˈz
chevrolets(1)		ʃɛˌvɹowlejˈz
chevron		ʃɛˈvɹʌn
chevron(1)		ʃɛˈvɹɑn
chevron's		ʃɛˈvɹʌnz
chevron's(1)		ʃɛˈvɹɑnz
chevy			tʃɛˈvi
chevy(1)		ʃɛˈvi
chevy's		tʃɛˈviz
chevy's(1)		ʃɛˈviz
chevys			tʃɛˈvɪs
chevys(1)		ʃɛˈvɪs
chew			tʃuˈ
chewed			tʃuˈd
chewer			tʃuˈɜɹ
chewers		tʃuˈɜɹz
chewing		tʃuˈɪŋ
chewning		tʃuˈnɪŋ
chews			tʃuˈz
chewy			tʃuˈi
cheyenne		ʃajɛˈn
cheyenne's		ʃajɛˈnz
cheyennes		ʃajɛˈnz
cheyne			tʃejˈn
cheyney		tʃejˈni
chez			ʃejˈ
chez(1)		tʃɛˈz
chi			kajˈ
chi's			kajˈz
chia			tʃiˈʌ
chianese		kiɑnejˈzi
chiang			tʃæˈŋ
chiang's		tʃæˈŋz
chianti		tʃiæˈnti
chiapas		tʃiɑˈpʌs
chiapas'		tʃiɑˈpʌz
chiapparone		tʃiæˈpɜɹowˌn
chiappetta		kiɑpɛˈtʌ
chiappone		kiɑpowˈni
chiara			kjɑˈɹʌ
chiaramonte		kiɑɹɑmowˈnti
chiarella		kiɑɹɛˈlʌ
chiarelli		kiɑɹɛˈli
chiarello		kiɑɹɛˈlow
chiarenza		kiɑɹɛˈnzʌ
chiarnim		kiɑˈɹnɪˌm
chiaro			kiɑˈɹow
chiasso		tʃiɑˈsow
chiasson		tʃiɑˈsʌn
chiat			tʃiˈæt
chiavetta		kiɑvɛˈtʌ
chiba			tʃiˈbʌ
chic			ʃiˈk
chicago		ʃʌkɑˈgowˌ
chicago's		ʃʌkɑˈgowˌz
chicagoan		tʃɪˈkʌgowˌn
chicagoans		ʃʌkɑˈgowˌʌnz
chicanery		ʃɪkejˈnɜɹi
chicano		tʃɪkɑˈnow
chicanos		tʃɪkɑˈnowz
chichauha		tʃiˌtʃawˈʌ
chichauha's		tʃiˌtʃawˈʌz
chichester		tʃɪˈtʃɛstɜɹ
chichi			tʃiˈtʃi
chick			tʃɪˈk
chickasaw		tʃɪˈkʌsɔˌ
chickasaws		tʃɪˈkʌsɔˌz
chicked		tʃɪkt
chicken		tʃɪˈkʌn
chicken's		tʃɪˈkʌnz
chickened		tʃɪˈkʌnd
chickening		tʃɪˈkʌnɪŋ
chickens		tʃɪˈkʌnz
chickens'		tʃɪˈkʌnz
chickering		tʃɪˈkɜɹɪŋ
chicks			tʃɪˈks
chico			tʃiˈkowˌ
chico's		tʃiˈkowˌz
chicoine		tʃɪkɔjˈn
chicots		tʃɪˈkʌts
chide			tʃajˈd
chided			tʃajˈdɪd
chides			tʃajˈdz
chidester		tʃɪˈdɪstɜɹ
chideya		tʃɪdiˈjʌ
chideya(1)		tʃɪdejˈjʌ
chiding		tʃajˈdɪŋ
chidsey		tʃɪˈdzi
chief			tʃiˈf
chief's		tʃiˈfs
chiefdom		tʃiˈfdʌm
chieffo		kiˈfow
chiefly		tʃiˈfli
chiefs			tʃiˈfs
chiefs'		tʃiˈfs
chieftain		tʃiˈftʌn
chieftain's		tʃiˈftʌnz
chieftains		tʃiˈftʌnz
chien			tʃɛˈn
chiengmai		tʃɛˈŋmajˈ
chiesa			kiˈsʌ
chiffon		ʃɪfɑˈn
chiggers		tʃɪˈgɜɹz
chigney		tʃɪˈgni
chihuahua		tʃʌwɑˈwɑˌ
chihuahua(1)		tʃiˌwɑˈwʌ
chikane		tʃɪkɑˈnej
chikatilo		tʃɪkʌtɪˌlow
chikos			tʃiˈkows
chilblain		tʃɪˈlblejn
chilblains		tʃɪˈlblejnz
chilcoat		tʃɪˈlkowˌt
chilcote		tʃɪˈlkowˌt
chilcott		tʃɪˈlkʌt
chilcutt		tʃɪˈlkʌt
child			tʃajˈld
child's		tʃajˈldz
childbearing		tʃajˈldbɛˌɹɪŋ
childbirth		tʃajˈldbɜɹˌθ
childcare		tʃajˈldkɛˌɹ
childcraft		tʃajˈldkɹæˌft
childe			tʃɪˈld
childener		tʃɪˈldnɜɹ
childener(1)		tʃɪˈldɪnɜɹ
childener's		tʃɪˈldnɜɹz
childener's(1)		tʃɪˈldɪnɜɹz
childers		tʃɪˈldɜɹz
childhood		tʃajˈldhʊˌd
childhoods		tʃajˈldhʊˌdz
childish		tʃajˈldɪʃ
childless		tʃajˈldlʌs
childlike		tʃajˈldlajˌk
childraising		tʃajˈldɹejˌzɪŋ
childree		tʃajldɹiˈ
children		tʃɪˈldɹʌn
children's		tʃɪˈldɹʌnz
childrens		tʃɪˈldɹʌnz
childrens'		tʃɪˈldɹʌnz
childres		tʃajˈldɜɹz
childress		tʃɪˈldɹɪs
childrey		tʃɪˈldɹi
childs			tʃajˈldz
chile			tʃɪˈli
chile's		tʃɪˈliz
chilean		tʃɪˈliʌn
chileans		tʃɪˈliʌnz
chiles			tʃajˈlz
chiles(1)		tʃɪˈliz
chiles's		tʃɪˈlizɪz
chili			tʃɪˈli
chili's		tʃɪˈliz
chilies		tʃɪˈliz
chilis			tʃɪˈliz
chill			tʃɪˈl
chilled		tʃɪˈld
chillemi		kilɛˈmi
chiller		tʃɪˈlɜɹ
chillicothe		tʃɪˈlɪkɔθ
chillier		tʃɪˈliɜɹ
chillies		tʃɪˈliz
chilliest		tʃɪˈliʌst
chilling		tʃɪˈlɪŋ
chillingly		tʃɪˈlɪŋli
chills			tʃɪˈlz
chilly			tʃɪˈli
chilmark		tʃɪˈlmɑˌɹk
chilson		tʃɪˈlsʌn
chilton		tʃɪˈltʌn
chimayo		tʃɪmajˈow
chime			tʃajˈm
chimed			tʃajˈmd
chimenti		tʃɪmɛˈnti
chimento		tʃɪmɛˈntow
chimera		tʃɪmɛˈɹʌ
chimerical		kɪmɛˈɹʌkʌl
chimerine		tʃɪˈmɜɹiˌn
chimes			tʃajˈmz
chimicles		tʃɪˈmɪkʌlz
chimie			tʃɪˈmi
chimney		tʃɪˈmni
chimneys		tʃɪˈmniz
chimp			tʃɪˈmp
chimpanzee		tʃɪmpæˈnzi
chimpanzees		tʃɪmpæˈnziz
chimps			tʃɪˈmps
chimurenga		tʃɪˌmɜɹɛˈngʌ
chin			tʃɪˈn
china			tʃajˈnʌ
china's		tʃajˈnʌz
chinatown		tʃajˈnʌtawˌn
chinchilla		tʃɪntʃɪˈlʌ
chinen			tʃɪˈnʌn
chinese		tʃajniˈz
ching			tʃɪˈŋ
chinh			tʃɪˈn
chink			tʃɪˈŋk
chinks			tʃɪˈŋks
chinn			tʃɪˈn
chinn's		tʃɪˈnz
chinnici		kiniˈtʃi
chinnock		tʃɪˈnʌk
chino			tʃiˈnow
chinook		ʃɪnʊˈk
chinook(1)		tʃɪˌnʊˈk
chinooks		tʃɪnʊˈks
chinooks(1)		ʃɪˌnʊˈks
chinoy			tʃɪˈnɔjˌ
chintung		tʃɪˈntʌŋ
chintzy		tʃɪˈntsi
chiodo			kiowˈdow
chip			tʃɪˈp
chip's			tʃɪˈps
chipboard		tʃɪˈpbɔˌɹd
chipcom		tʃɪˈpkɑˌm
chipcom's		tʃɪˈpkɑˌmz
chipello		tʃɪpɛˈlow
chipetas		tʃɪpiˈtʌz
chipita		tʃʌpiˈtʌ
chipley		tʃɪˈpli
chipmaker		tʃɪˈpmejˌkɜɹ
chipmakers		tʃɪˈpmejˌkɜɹz
chipman		tʃɪˈpmʌn
chipote		tʃɪpowˈt
chipped		tʃɪˈpt
chipper		tʃɪˈpɜɹ
chippewa		tʃɪˈpʌwɑˌ
chipping		tʃɪˈpɪŋ
chipps			tʃɪˈps
chippy			tʃɪˈpi
chips			tʃɪˈps
chipsoft		tʃɪˈpsɔˌft
chiquita		kɪkwiˈtʌ
chiquita(1)		tʃɪkwiˈtʌ
chiquita(2)		tʃɪkiˈtʌ
chirac			ʃɪɹæˈk
chirac's		ʃɪɹæˈks
chirco			kɪˈɹkow
chirico		kɪɹiˈkow
chiron			tʃajˈɹʌn
chiron's		tʃajˈɹʌnz
chiropractic		kajˌɹowpɹæˈktɪk
chiropractor		kajˈɹʌpɹæˌktɜɹ
chiropractor's		kajˈɹowpɹæˌktɜɹz
chiropractors		kajˈɹʌpɹæˌktɜɹz
chirp			tʃɜɹˈp
chirping		tʃɜɹˈpɪŋ
chirps			tʃɜɹˈps
chirpy			tʃɜɹˈpi
chisam			tʃɪˈsʌm
chisel			tʃɪˈzʌl
chiseled		tʃɪˈzʌld
chiseling		tʃɪˈzʌlɪŋ
chiseling(1)		tʃɪˈzlɪŋ
chisels		tʃɪˈzʌlz
chisenhall		tʃɪsɛˈnhʌl
chisholm		tʃɪˈzʌm
chisler		tʃɪˈsʌlɜɹ
chisler(1)		tʃɪˈslɜɹ
chisler(2)		tʃɪˈzlɜɹ
chism			tʃɪˈzʌm
chisman		tʃɪˈsmʌn
chismar		tʃɪˈzmɜɹ
chisolm		tʃɪˈsowm
chisom			tʃɪˈsʌm
chissano		tʃɪsɑˈnow
chisum			tʃɪˈzʌm
chiswick		tʃɪˈzwɪk
chit			tʃɪˈt
chita			tʃiˈtʌ
chitchat		tʃɪˈttʃæˌt
chitinous		kajˈtʌnʌs
chitlin		tʃɪˈtlɪn
chitlins		tʃɪˈtlɪnz
chitra			tʃɪˈtɹʌ
chitra's		tʃɪˈtɹʌz
chitrao		tʃɪˈtɹaw
chits			tʃɪˈts
chittenden		tʃɪˈtʌndʌn
chitter		tʃɪˈtɜɹ
chitterchatter		tʃɪˈtɜɹtʃæˈtɜɹ
chitterlings		tʃɪˈtɜɹlɪŋz
chittick		tʃɪˈtɪk
chittum		tʃɪˈtʌm
chitty			tʃɪˈti
chitwood		tʃɪˈtwʊˌd
chiu			tʃuˈ
chiusano		kiusɑˈnow
chivalry		ʃɪˈvʌlɹi
chivas			tʃiˈvʌs
chivas(1)		ʃiˈvʌs
chivers		tʃajˈvɜɹz
chives			tʃajˈvz
chiyoda		tʃɪjowˈdʌ
chizek			tʃɪˈzɛk
chizmar		tʃɪˈzmɜɹ
chlamydia		klæmajˈdiʌ
chlamydia(1)		klæmɪˈdiʌ
chlebowski		tʃlɪbɔˈfski
chlebowski(1)		klɪbɔˈfski
chloe			klowˈi
chlorate		klɔˈɹejt
chlordane		klɔˈɹdejˌn
chloride		klɔˈɹajd
chlorinate		klɔˈɹʌnejˌt
chlorinated		klɔˈɹʌnejˌtʌd
chlorinating		klɔˈɹʌnejˌtɪŋ
chlorine		klɔˈɹin
chloris		klɔˈɹɪs
chlorofluorocarbon	klɔɹowflɔˌɹowkɑˈɹbɑn
chlorofluorocarbons	klɔˈɹowflɔˈɹowkɑˈɹbɑnz
chloroform		klɔˈɹʌfɔˌɹm
chlorophyll		klɔˈɹʌfɪl
chloroplast		klɔˈɹʌplæˌst
chloroplasts		klɔˈɹʌplæˌsts
chloroprene		klɔˈɹʌpɹiˌn
chmiel			tʃʌmiˈl
chmielewski		tʃʌmʌlɛˈfski
chmielewski(1)		tʃʌmʌluˈski
chmura			tʃʌmʊˈɹʌ
cho			tʃowˈ
choat			tʃowˈt
choate			tʃowˈt
chock			tʃɑˈk
chocolat		tʃɑˈklʌt
chocolate		tʃɔˈklʌt
chocolates		tʃɔˈklʌts
chocolatology		tʃɑˌklʌtɑˈlʌdʒi
chodorow		tʃowˈdɜɹow
choe			tʃowˈ
choi			tʃɔjˈ
choice			tʃɔjˈs
choicer		tʃɔjˈsɜɹ
choicers		tʃɔjˈsɜɹz
choices		tʃɔjˈsʌz
choices(1)		tʃɔjˈsɪz
choicest		tʃɔjˈsʌst
choiniere		ʃɔjˈniɛɹ
choinski		tʃɔjˈnski
choir			kwajˈɜɹ
choirs			kwajˈɹz
chojnacki		tʃʌjnɑˈtski
chojnowski		tʃʌjnɔˈfski
chok			tʃɑˈk
choke			tʃowˈk
choked			tʃowˈkt
chokehold		tʃowˈkhowˌld
chokes			tʃowˈks
choking		tʃowˈkɪŋ
cholera		kɑˈlɜɹʌ
choleric		kɑˈlɜɹɪk
cholesterol		kʌlɛˈstɜɹɔˌl
cholesterol(1)		kʌlɛˈstɜɹʌl
cholestyramine		tʃowlɛˈstɪɹʌmajˌn
cholet			tʃowˈlʌt
cholewa		tʃʌluˈʌ
cholla			tʃɑˈlʌ
choma			tʃowˈmʌ
chombiono		tʃɑmbiowˈnow
chomp			tʃɑˈmp
chomping		tʃɑˈmpɪŋ
chon			tʃɑˈn
chong			tʃɔˈŋ
chongqing		tʃɔˈŋkɪˈŋ
chonko			tʃɑˈŋkow
chontales		ʃɑˌntejˈlz
choo			tʃuˈ
chook			tʃʊˈk
chook(1)		tʃuˈk
choon			tʃuˈn
choong			tʃuˈŋ
choose			tʃuˈz
chooses		tʃuˈzʌz
chooses(1)		tʃuˈzɪz
choosing		tʃuˈzɪŋ
choosy			tʃuˈzi
chop			tʃɑˈp
chop-suey		tʃɑˈpsuˈi
choper			tʃowˈpɜɹ
chopin			ʃowˈpæn
choplin		tʃɑˈplɪn
chopp			tʃɑˈp
chopped		tʃɑˈpt
chopper		tʃɑˈpɜɹ
chopper's		tʃɑˈpɜɹz
choppers		tʃɑˈpɜɹz
chopping		tʃɑˈpɪŋ
choppy			tʃɑˈpi
chopra			tʃɑˈpɹʌ
chops			tʃɑˈps
chopstick		tʃɑˈpstɪˌk
chopsticks		tʃɑˈpstɪˌks
chopsuey		tʃɑˈpsuˈi
choquette		ʃʌkɛˈt
choral			kɔˈɹʌl
chorale		kɜɹæˈl
chorals		kɔˈɹʌlz
chorba			kɔˈɹbʌ
chord			kɔˈɹd
chordates		kɔˈɹdejˌts
chords			kɔˈɹdz
chore			tʃɔˈɹ
choreograph		kɔˈɹiʌgɹæˌf
